what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1300743714151
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1300743714530
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1300743714685
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1300743715821
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300743716234
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1300743719740
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300743725644
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300743730294
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300743737040
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1300743738805
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300743745561
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300743778329
activated,editor,sf.eclipse.javacc,1.5.24,"sf.eclipse.javacc.editors.JJEditor",1300743780727
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1300743781814
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1300743782909
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300743796175
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300743797627
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300743804564
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300743806705
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300743809085
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1300743809115
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300743816267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300743823736
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1300743825327
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300743829436
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300743839949
activated,editor,sf.eclipse.javacc,1.5.24,"sf.eclipse.javacc.editors.JJEditor",1300743840975
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300743845467
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300743887337
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300743888827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1300743888874
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300743894252
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1300743902114
